iter	Accuracy	Logloss
0	0.6652137469	0.6610222085
1	0.6740989103	0.6433440878
2	0.6694048617	0.6372173051
3	0.6714165968	0.6255670267
4	0.67627829	0.6157171869
5	0.6777870914	0.6108399287
6	0.6828164292	0.6013702935
7	0.6885163453	0.5916651062
8	0.6922045264	0.5868382916
9	0.6927074602	0.5820534452
10	0.6960603521	0.5769959538
11	0.6999161777	0.5721499994
12	0.698575021	0.5696584187
13	0.7009220453	0.5667390706
14	0.7062866723	0.5602535665
15	0.7062866723	0.5587307607
16	0.7108130763	0.5543121824
17	0.7139983236	0.5519661207
18	0.7170159262	0.5492486598
19	0.7205364627	0.5450624646
20	0.722883487	0.5423724431
21	0.7309304275	0.5355508924
22	0.7388097234	0.5265404475
23	0.7386420788	0.5263590229
24	0.743503772	0.5185479159
25	0.7481978206	0.5165969995
26	0.7535624476	0.5121469552727	0.755071249	0.5110148762828	0.7582564962	0.5069618612929	0.7627829003	0.5038374623030	0.773176865	0.5003077619331	0.7756915339	0.4962974955332	0.7798826488	0.4921525571333	0.7884325231	0.4873782921334	0.790108969	0.4848381648
35	0.79379715	0.4811954477
36	0.7969823973	0.4777929831
37	0.8011735122	0.4734671899
38	0.8018440905	0.4717357049
39	0.8021793797	0.470305756
40	0.8065381391	0.4656813143
41	0.8110645432	0.4611331901
42	0.8179379715	0.4559060699
43	0.8219614417	0.4519653106
44	0.8233025985	0.4489183959
45	0.8281642917	0.4433046516
46	0.836714166	0.4362404767
47	0.8400670578	0.4327449587
48	0.8439228835	0.4298992805
49	0.8477787091	0.4262208433
50	0.8518021794	0.4227148505
51	0.8536462699	0.4205636862
52	0.8558256496	0.4183498096
53	0.8583403185	0.4137906245
54	0.8625314334	0.409202518
55	0.8632020117	0.4077799988
56	0.8692372171	0.4030291723
57	0.8735959765	0.3997984501
58	0.8739312657	0.3982536103
59	0.8744341995	0.396305969
60	0.8769488684	0.3942678309
61	0.8819782062	0.3908147026
62	0.8858340319	0.3860721106
63	0.886169321	0.3825116922
64	0.892372171	0.3775951179
65	0.892372171	0.3749836239
66	0.8937133277	0.3712898278
62
94
