iter	Passed	Remaining
0	117	117798
1	193	96329
2	282	94043
3	494	123242
4	642	127790
5	760	126039
6	863	122558
7	958	118792
8	1188	130821
9	1334	132078
10	1468	132068
11	1592	131116
12	1677	127372
13	1799	126758
14	2043	134206
15	2203	135502
16	2361	136559
17	2534	138245
18	2696	139226
19	2817	138043
20	2971	138546
21	3128	139090
22	3303	140330
23	3435	139726
24	3621	141226
25	3748	140432
26	3873	139572
27	3985	138350
28	4126	138155
29	4266	137950
30	4402	137605
31	4526	136938
32	4664	136694
33	4786	135994
34	4909	135359
35	5047	135163
36	5164	134421
37	5277	133606
38	5392	132867
39	5511	132265
40	5681	132893
41	5790	132082
42	5944	132305
43	6061	131706
44	6185	131280
45	6321	131092
46	6454	130869
47	6610	131104
48	6768	131360
49	6928	131637
50	7059	131368
51	7195	131188
52	7335	131077
53	7498	131354
54	7642	131315
55	7800	131488
56	7953	131589
57	8107	131669
58	8256	131690
59	8397	131565
60	8535	131393
61	8677	131277
62	8819	131177
63	8979	131326
64	9123	131240
65	9250	130908
66	9385	130692
