iter	Accuracy	Logloss
0	0.665325285	0.6637684353
1	0.6678962665	0.6445308599
2	0.674379611	0.6283680627
3	0.6734853566	0.6219513956
4	0.6778448469	0.6136859009
5	0.6791862285	0.6053409872
6	0.6789626649	0.6035147249
7	0.6800804829	0.5999038717
8	0.6823161189	0.5950813125
9	0.6842164096	0.5914912076
10	0.686787391	0.5840194639
11	0.6883523362	0.5815827104
12	0.6921529175	0.5775618035
13	0.6941649899	0.5744306544
14	0.6959534988	0.5707675756
15	0.7010954617	0.5663983946
16	0.7045606975	0.5604868296
17	0.7075788062	0.5587564166
18	0.7080259334	0.5574014649
19	0.7108204784	0.5539688888
20	0.7145092779	0.5510185281
21	0.7180862956	0.5493558364
22	0.7219986586	0.5455279801
23	0.7272524033	0.5397139213
24	0.7303822938	0.5376039924
25	0.7331768388	0.5337861343
26	0.7373127655	0.529459038
27	0.7387659289	0.5265708541
28	0.7406662195	0.5250902022
29	0.7459199642	0.5217216969
30	0.7456964006	0.5203849746
31	0.7472613459	0.519258003
32	0.7505030181	0.5174695344
33	0.7532975632	0.5138546663
34	0.7600044713	0.5083934423
35	0.7634697071	0.5040596311
36	0.768052761	0.497958249
37	0.7727475967	0.4952648684
38	0.7749832327	0.4931694425
39	0.777107087	0.4906966983
40	0.778783814	0.4892973046
41	0.7842611223	0.4835297215
42	0.7877263581	0.4817826895
43	0.789514867	0.4781280965
44	0.791191594	0.4748124191
45	0.7932036664	0.4730045147
46	0.8000223564	0.4675198758
47	0.8065057009	0.4620727055
48	0.8089649005	0.4577400185
49	0.811535882	0.4538185564
50	0.8164542812	0.4494974348
51	0.8196959535	0.4462141889
52	0.8230494076	0.4433628682
53	0.8277442432	0.4400580875
54	0.8298680975	0.4369753583
55	0.8326626425	0.434720842
56	0.8342275877	0.4321540453
57	0.834674715	0.431573639
58	0.8355689694	0.427951067
59	0.8398166778	0.4249484917
60	0.8411580595	0.4233346795
61	0.8422758775	0.4205912689
62	0.8443997317	0.4187665468
63	0.8511066398	0.4138448691
64	0.8523362397	0.4110603642
65	0.8532304941	0.4101129565
66	0.8555779119	0.4086492968
67	0.8564721663	0.4072277411
68	0.8573664207	0.4057159927
69	0.857813548	0.4053302023
70	0.8598256204	0.4027568673
71	0.862843729	0.3989397977
72	0.8640733289	0.3976571186
73	0.8647440197	0.3960679987
74	0.8664207467	0.3942460381
75	0.8677621283	0.391635434
76	0.8711155824	0.3881907101
77	0.8716744914	0.3871941026
78	0.8729040912	0.3849962594
79	0.8767046725	0.3821202087
80	0.8781578359	0.3799133227
81	0.8830762352	0.376801801
82	0.8856472166	0.3735696454
83	0.8853118712	0.3714820119
84	0.8869885983	0.370475248
