iter	Passed	Remaining
0	54	54538
1	87	43428
2	127	42282
3	158	39487
4	191	38203
5	225	37345
6	250	35551
7	295	36700
8	340	37527
9	381	37741
10	421	37880
11	461	37987
12	514	39072
13	552	38922
14	591	38868
15	627	38596
16	668	38682
17	709	38728
18	753	38881
19	791	38759
20	825	38505
21	862	38333
22	900	38263
23	934	38020
24	976	38085
25	1027	38501
26	1079	38892
27	1122	38966
28	1159	38834
29	1203	38925
30	1242	38829
31	1299	39306
32	1358	39799
33	1399	39748
34	1439	39702
35	1495	40039
36	1534	39949
37	1581	40031
38	1625	40053
39	1675	40220
40	1715	40132
41	1756	40059
42	1794	39941
43	1834	39854
44	1873	39756
45	1924	39905
46	1964	39828
47	2016	40001
48	2062	40033
49	2102	39939
50	2147	39966
51	2203	40174
52	2258	40346
53	2313	40535
54	2371	40745
55	2424	40864
56	2473	40917
57	2534	41167
58	2591	41326
59	2640	41364
60	2683	41301
61	2728	41282
62	2767	41162
63	2814	41164
64	2862	41173
65	2913	41228
66	2972	41387
67	3015	41333
68	3077	41530
69	3132	41617
70	3188	41723
71	3242	41792
72	3303	41948
73	3351	41937
74	3391	41833
75	3436	41783
76	3475	41657
77	3522	41643
78	3572	41650
79	3612	41547
80	3657	41495
81	3707	41500
82	3759	41538
83	3805	41501
84	3837	41311
85	3879	41234
86	3927	41214
87	3968	41132
88	4010	41046
89	4048	40938
90	4089	40848
91	4128	40748
92	4167	40647
93	4221	40689
94	4256	40553
95	4304	40537
96	4341	40413
97	4376	40282
98	4415	40183
99	4466	40201
100	4501	40071
101	4539	39966
102	4575	39849
103	4614	39755
104	4653	39668
105	4706	39694
106	4749	39635
107	4795	39608
108	4840	39565
109	4882	39501
110	4924	39439
111	4960	39332
112	5004	39281
113	5044	39203
114	5085	39132
115	5127	39073
116	5167	38997
117	5204	38901
118	5246	38843
119	5294	38827
120	5340	38797
121	5387	38773
122	5438	38774
123	5488	38774
124	5548	38839
125	5605	38885
126	5651	38851
127	5683	38719
128	5738	38744
129	5797	38800
130	5841	38752
131	5881	38673
132	5919	38589
133	5957	38501
134	6000	38448
135	6047	38420
136	6080	38300
137	6119	38226
138	6167	38202
139	6221	38217
140	6279	38254
141	6329	38246
142	6381	38243
143	6433	38243
144	6499	38324
145	6545	38287
146	6583	38200
147	6628	38156
148	6677	38137
149	6716	38059
150	6757	37993
151	6806	37970
152	6850	37923
153	6901	37914
154	6940	37837
155	6976	37745
156	7019	37690
157	7066	37657
158	7115	37636
159	7163	37606
160	7218	37619
161	7263	37573
162	7305	37514
163	7360	37518
164	7406	37481
165	7471	37537
166	7536	37591
167	7599	37633
168	7643	37584
169	7697	37581
170	7765	37644
171	7818	37636
172	7874	37641
173	7918	37591
174	7955	37503
175	7997	37443
176	8054	37450
177	8101	37410
178	8149	37378
179	8191	37318
180	8250	37334
181	8298	37296
182	8337	37222
183	8373	37135
184	8409	37046
185	8443	36951
186	8484	36886
187	8541	36890
188	8584	36835
189	8626	36774
190	8669	36719
191	8701	36618
192	8757	36619
193	8803	36576
194	8848	36530
195	8890	36469
196	8929	36399
197	8974	36349
198	9023	36321
199	9071	36287
200	9126	36278
201	9178	36259
202	9226	36224
203	9283	36224
204	9332	36193
205	9370	36118
206	9412	36056
207	9455	36004
208	9500	35956
209	9548	35919
210	9588	35856
211	9634	35812
212	9677	35757
213	9720	35701
214	9772	35679
215	9812	35613
216	9853	35555
217	9902	35522
218	9946	35470
219	9993	35430
220	10034	35370
221	10088	35356
222	10133	35307
223	10171	35238
224	10211	35171
225	10243	35081
226	10284	35023
227	10337	35002
228	10382	34957
229	10418	34880
230	10462	34828
231	10508	34785
232	10562	34769
233	10618	34760
234	10668	34729
235	10708	34665
236	10753	34620
237	10807	34603
238	10850	34549
239	10895	34501
240	10936	34444
241	10977	34382
242	11020	34331
243	11075	34314
244	11119	34267
245	11163	34217
246	11213	34185
247	11271	34177
248	11319	34141
249	11373	34120
250	11423	34088
251	11471	34050
252	11520	34015
253	11563	33961
254	11600	33892
255	11636	33819
256	11680	33768
257	11709	33677
258	11766	33663
259	11805	33601
260	11841	33529
261	11882	33470
262	11920	33404
263	11957	33335
264	12007	33303
265	12054	33264
266	12102	33224
267	12154	33199
268	12203	33161
269	12257	33140
270	12304	33099
271	12347	33047
272	12388	32989
273	12424	32920
274	12468	32871
275	12521	32846
276	12559	32781
277	12622	32781
278	12667	32735
279	12730	32736
280	12792	32732
281	12845	32704
282	12897	32676
283	12960	32675
284	13014	32651
285	13056	32594
286	13104	32556
287	13167	32552
288	13233	32556
289	13282	32520
290	13331	32482
291	13388	32463
292	13448	32451
293	13508	32438
294	13546	32374
295	13590	32324
296	13646	32301
297	13695	32262
298	13740	32214
299	13780	32155
300	13833	32123
301	13876	32072
302	13919	32019
303	13956	31952
304	14002	31906
305	14055	31878
306	14107	31846
307	14149	31789
308	14189	31731
309	14230	31675
310	14275	31625
311	14318	31573
312	14355	31508
313	14402	31464
314	14444	31410
315	14481	31346
316	14519	31283
317	14561	31229
318	14601	31170
319	14635	31100
320	14671	31035
321	14717	30989
322	14769	30957
323	14808	30897
324	14850	30843
325	14894	30793
326	14932	30731
327	14972	30675
328	15022	30638
329	15074	30606
330	15124	30568
331	15176	30536
332	15226	30499
333	15264	30437
334	15305	30382
335	15344	30323
336	15382	30262
337	15425	30212
338	15474	30173
339	15516	30120
340	15556	30064
341	15604	30022
342	15642	29963
343	15682	29907
344	15730	29865
345	15772	29813
346	15812	29755
347	15849	29694
348	15902	29662
349	15947	29615
350	15994	29573
351	16045	29537
352	16092	29494
353	16128	29432
354	16168	29376
355	16207	29319
356	16247	29262
357	16306	29242
358	16360	29211
359	16411	29175
360	16460	29136
361	16515	29107
362	16565	29068
363	16609	29020
364	16645	28958
365	16679	28893
366	16720	28838
367	16760	28784
368	16800	28729
369	16840	28674
370	16888	28632
371	16937	28594
372	16994	28567
373	17039	28519
374	17086	28477
375	17130	28429
376	17168	28371
377	17212	28322
378	17252	28269
379	17299	28226
380	17341	28173
381	17392	28137
382	17438	28092
383	17485	28049
384	17535	28010
385	17585	27973
386	17631	27927
387	17677	27882
388	17725	27841
389	17769	27792
390	17818	27753
391	17860	27702
392	17916	27672
393	17963	27628
394	18005	27577
395	18054	27537
396	18102	27495
397	18143	27442
398	18185	27391
399	18229	27344
400	18271	27292
401	18315	27245
402	18363	27203
403	18408	27156
404	18447	27101
405	18486	27046
406	18531	26999
407	18574	26950
408	18618	26903
409	18657	26848
410	18697	26795
411	18745	26753
412	18790	26707
413	18842	26670
414	18884	26619
415	18927	26570
416	18966	26516
417	19009	26468
418	19045	26408
419	19092	26365
420	19128	26307
421	19168	26254
422	19216	26212
423	19261	26166
424	19302	26115
425	19346	26067
426	19383	26011
427	19424	25959
428	19466	25909
429	19505	25855
430	19546	25805
431	19584	25750
432	19633	25709
433	19676	25660
434	19712	25604
435	19754	25553
436	19795	25503
437	19867	25492
438	19962	25510
439	20007	25463
440	20048	25413
441	20092	25365
442	20134	25315
443	20176	25266
444	20209	25205
445	20250	25154
446	20292	25104
447	20333	25053
448	20373	25001
449	20417	24954
450	20464	24911
451	20509	24864
452	20548	24812
453	20592	24765
454	20636	24718
455	20676	24666
456	20728	24629
457	20768	24577
458	20819	24539
459	20862	24490
460	20903	24440
461	20948	24395
462	20987	24342
463	21032	24296
464	21074	24246
465	21114	24195
466	21153	24143
467	21194	24093
468	21236	24044
469	21277	23993
470	21317	23942
471	21352	23886
472	21393	23835
473	21433	23784
474	21474	23734
475	21516	23686
476	21556	23635
477	21593	23581
478	21639	23537
479	21687	23495
480	21732	23449
481	21776	23403
482	21817	23352
483	21858	23304
484	21912	23267
485	21959	23224
486	21999	23174
487	22035	23119
488	22075	23068
489	22110	23013
490	22153	22965
491	22195	22917
492	22232	22863
493	22271	22812
494	22308	22759
495	22347	22708
496	22385	22656
497	22428	22608
498	22467	22557
499	22504	22504
500	22540	22450
501	22579	22399
502	22634	22364
503	22682	22322
504	22720	22270
505	22758	22219
506	22796	22166
507	22834	22115
508	22872	22064
509	22912	22014
510	22953	21965
511	22997	21919
512	23040	21873
513	23086	21828
514	23131	21784
515	23174	21737
516	23215	21688
517	23248	21633
518	23285	21580
519	23334	21539
520	23373	21488
521	23413	21439
522	23452	21390
523	23490	21338
524	23535	21293
525	23581	21250
526	23630	21209
527	23685	21173
528	23728	21126
529	23778	21086
530	23823	21041
531	23862	20991
532	23901	20941
533	23942	20893
534	23981	20843
535	24026	20799
536	24067	20751
537	24105	20699
538	24140	20647
539	24182	20599
540	24223	20551
541	24263	20502
542	24305	20455
543	24354	20414
544	24394	20365
545	24438	20320
546	24475	20269
547	24515	20220
548	24550	20168
549	24592	20121
550	24639	20078
551	24686	20035
552	24728	19988
553	24776	19946
554	24825	19905
555	24872	19861
556	24918	19818
557	24967	19777
558	25014	19733
559	25060	19690
560	25114	19652
561	25162	19610
562	25209	19567
563	25251	19520
564	25301	19480
565	25350	19438
566	25389	19389
567	25430	19341
568	25473	19295
569	25522	19253
570	25563	19205
571	25622	19171
572	25662	19123
573	25703	19075
574	25739	19025
575	25777	18975
576	25815	18925
577	25856	18878
578	25897	18830
579	25937	18782
580	25974	18731
581	26012	18682
582	26052	18634
583	26087	18583
584	26129	18536
585	26169	18488
586	26211	18441
587	26252	18394
588	26289	18344
589	26330	18297
590	26369	18248
591	26414	18204
592	26462	18162
593	26502	18114
594	26548	18071
595	26590	18024
596	26630	17976
597	26682	17937
598	26722	17889
599	26763	17842
600	26808	17798
601	26866	17762
602	26919	17723
603	26963	17678
604	27006	17632
605	27051	17587
606	27113	17554
607	27157	17509
608	27196	17461
609	27243	17418
610	27282	17370
611	27334	17329
612	27378	17284
613	27423	17239
614	27470	17197
615	27521	17156
616	27567	17112
617	27625	17076
618	27673	17033
619	27716	16987
620	27757	16940
621	27804	16897
622	27860	16859
623	27908	16816
624	27949	16769
625	27999	16728
626	28047	16685
627	28092	16640
628	28132	16593
629	28178	16549
630	28216	16500
631	28255	16452
632	28298	16406
633	28371	16378
634	28425	16339
635	28482	16301
636	28534	16260
637	28588	16221
638	28632	16175
639	28670	16127
640	28714	16081
641	28754	16034
642	28796	15987
643	28846	15946
644	28896	15904
645	28943	15860
646	28996	15820
647	29043	15776
648	29076	15725
649	29118	15679
650	29158	15631
651	29210	15590
652	29256	15546
653	29302	15502
654	29360	15464
655	29433	15434
656	29486	15394
657	29537	15352
658	29583	15308
659	29624	15261
660	29663	15213
661	29712	15170
662	29755	15124
663	29807	15083
664	29850	15037
665	29898	14993
666	29948	14951
667	29989	14904
668	30033	14859
669	30075	14813
670	30112	14764
671	30157	14719
672	30197	14672
673	30242	14627
674	30306	14592
675	30361	14551
676	30406	14507
677	30460	14466
678	30509	14423
679	30556	14379
680	30606	14336
681	30655	14293
682	30737	14266
683	30801	14229
684	30849	14186
685	30899	14143
686	30955	14103
687	31004	14060
688	31047	14014
689	31088	13967
