iter	Passed	Remaining
0	144	144081
1	215	107698
2	298	99236
3	427	106486
4	560	111501
5	709	117513
6	822	116678
7	940	116643
8	1085	119572
9	1218	120625
10	1391	125141
11	1535	126407
12	1631	123854
13	1770	124667
14	1871	122864
15	1990	122428
16	2110	122015
17	2252	122892
18	2377	122742
19	2481	121592
20	2600	121241
21	2713	120607
22	2829	120183
23	2920	118779
24	3049	118941
25	3174	118924
26	3289	118535
27	3412	118459
28	3534	118351
29	3662	118429
30	3809	119082
31	3969	120073
32	4123	120822
33	4261	121088
34	4376	120669
35	4565	122263
36	4688	122018
37	4813	121845
38	4930	121484
39	5055	121332
40	5175	121064
41	5310	121125
42	5421	120664
43	5532	120203
44	5646	119830
45	5814	120582
46	5962	120903
47	6117	121322
48	6252	121344
49	6396	121536
50	6539	121680
51	6684	121867
52	6802	121543
53	6941	121599
54	7071	121503
55	7198	121352
56	7314	121008
57	7448	120965
58	7573	120791
59	7712	120823
60	7830	120544
61	7972	120621
62	8094	120396
63	8238	120494
64	8356	120207
65	8484	120071
66	8608	119879
